IR UF24 44686094,78271975,60762060,88915426
2024-10-26 19:12:10,510 - FRONTIER - INFO - Did not find save file frontier.shelve, starting from seed.
2024-10-26 19:12:10,520 - FRONTIER - INFO - Found 0 urls to be downloaded from 0 total urls discovered.
2024-10-26 19:12:48,310 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2019-2020/seminar-series-2011-2012, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:48,828 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2019-2020/seminar-series-2012-2013, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:49,346 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2019-2020/seminar-series-2013-2014, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:49,863 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2020-2021, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:50,763 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2021-2022, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:51,667 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-content/uploads/Shujie-Ma-Abstract-5-5-22, status <200>, using cache ('styx.ics.uci.edu', 9009).
Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2024-10-26 19:12:55,880 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2021-2022/seminar-series-2010-2011, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:56,398 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2021-2022/seminar-series-2011-2012, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:56,918 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2021-2022/seminar-series-2012-2013, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:57,437 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2021-2022/seminar-series-2013-2014, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:57,954 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2021-2022, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:58,843 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2022-2023, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:59,710 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2022-2023/seminar-series-2010-2011, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:00,228 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2022-2023/seminar-series-2011-2012, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:00,747 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2022-2023/seminar-series-2012-2013, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:01,266 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2022-2023/seminar-series-2013-2014, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:01,784 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2022-2023, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:02,636 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2023-2024, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:03,503 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:04,252 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025/seminar-series-2010-2011, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:04,771 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025/seminar-series-2011-2012, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:05,290 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025/seminar-series-2012-2013, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:05,809 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025/seminar-series-2013-2014, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:13:06,326 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/slider/uci-launches-new-professional-program-master-of-data-science, status <200>, using cache ('styx.ics.uci.edu', 9009).
